pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,4,4,12,575.2263035000069,575.2263035000069,575.2263035000069,0.9143518518518517,4.200249699992128,space,19.864083499996923,,,,,573.0600555000128,573.0600584900124,574.0767405999359,,,595.1104014000157,620.0941374999238,620.0941339899903,620.1107974000042,625.0942013999447,,,,,574.0767405999359,574.2100738999434,575.2263035000069,575.0763005999615,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pnegative_low_9331.jpg,1,0.1384903,0,-0.4,,,,,0,5,5,4,627.2607653000159,627.2607653000159,627.2607653000159,0.9837962962962965,3.4669049999210984,space,35.06118179997429,,,,,625.0942013999447,625.0942104899907,626.1108937999234,,,662.3447953999275,687.3285269999178,687.328523589985,687.3451954999473,692.328605299932,,,,,626.1108937999234,626.2442285999423,627.2607653000159,627.1107581999386,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pnegative_low_6010.jpg,3,0.1552196,0,0.4,,,,,0,6,6,5,696.3616597999353,696.3616597999353,696.3616597999353,3.0439814814814827,5.333941500051878,space,15.399924799916334,,,,,692.328605299932,692.3286077899277,693.3452873999486,,,711.7789143999107,736.7626105999807,736.7626425899682,736.779306899989,741.7626517999452,,,,,693.3452873999486,693.4952901999932,694.4948517999146,696.3616597999353,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,7,7,0,743.9289739999222,743.9289739999222,743.9289739999222,1.0763888888888886,2.4668034999631345,space,23.114030699944124,,,,,741.7626517999452,741.7627214899869,742.7794068999356,,,767.0798614999512,792.0634819999104,792.0635125900037,792.080184899969,797.0635947999544,,,,,742.7794068999356,742.912704700022,743.9289739999222,743.778965299949,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,8,8,13,801.0966672999784,801.0966672999784,801.0966672999784,2.0717592592592595,23.534221500041895,space,24.29652149998583,,,,,797.0635947999544,797.0636017899844,798.0802852999186,,,825.4140443999786,850.397762699984,850.3977685900056,850.4144313000143,855.3978438000195,,,,,798.0802852999186,798.2302771999966,799.2298423999455,801.0966672999784,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,9,9,15,863.4308521000203,863.4308521000203,863.4308521000203,5.960648148148148,3.400209000101313,space,15.723453299957328,,,,,855.3978438000195,855.3978455900099,856.4145304999547,,,879.1811004999327,904.1648380999686,904.1648407899659,904.1814993999433,909.165030599921,,,,,856.4145304999547,856.4645308000036,857.4640744000208,863.4308521000203,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,10,10,2,915.1983535999898,915.1983535999898,915.1983535999898,3.9699074074074074,2.4169503999873996,space,27.25147310004104,,,,,909.165030599921,909.1650411899784,910.1817202999955,,,942.4823672999628,967.4663030999945,967.466300689953,967.482933399966,972.4663823000155,,,,,910.1817202999955,910.2817145999288,911.2816082999343,915.1983535999898,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pneutral_7950.jpg,7,0.0561269,0.7,0,,,,,0,11,11,3,980.4993945999304,980.4993945999304,980.4993945999304,6.099537037037036,2.783556899987161,space,15.03858809999656,,,,,972.4663823000155,972.4663889899268,973.483031700016,,,995.5663041999796,1020.5504914999474,1020.5504968899652,1020.5671698999358,1025.5505796999205,,,,,973.483031700016,973.5330381999956,974.5326539999805,980.4993945999304,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,12,12,11,1033.5835890999297,1033.5835890999297,1033.5835890999297,6.099537037037036,1.9167862000176683,space,11.63490579999052,,,,,1025.5505796999205,1025.5505787900067,1026.567263899953,,,1045.250413700007,1070.2346283999505,1070.2346477899584,1070.2513056999305,1075.234712800011,,,,,1026.567263899953,1026.6172648000065,1027.6168247999158,1033.5835890999297,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_high_8492.jpg,1,0.1384903,0,-0.4,,,,,0,13,13,16,1077.4009623000165,1077.4009623000165,1077.4009623000165,1.1226851851851851,3.2501771999523044,space,13.464959100005217,,,,,1075.234712800011,1075.2347078899504,1076.2513645999134,,,1090.8844691999257,1115.8682465999154,1115.8682478900184,1115.8849139999365,1120.8684556999942,,,,,1076.2513645999134,1076.3847354999743,1077.4009623000165,1077.2509677999187,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
