pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\pneutral_7950.jpg,7,0.0561269,0.7,0,,,,,0,4,4,3,585.7206434999825,585.7206434999825,585.7206434999825,5.185185185185185,5.850238800048828,space,15.1226941999048,,,,,577.6709651000565,577.6709210400586,578.7042629000498,,,600.8879969000118,625.8717141000088,625.8717196400394,625.8884011000628,630.8718103000429,,,,,578.7042629000498,578.737659299979,579.737213699962,585.7206434999825,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pneutral_7100.jpg,3,0.1552196,0,0.4,,,,,0,5,5,1,634.9214199000271,634.9214199000271,634.9214199000271,3.0671296296296298,3.7001982000656426,space,10.128727499977686,,,,,630.8718103000429,630.8717571399757,631.9051262000576,,,645.0883719000267,670.0724344999762,670.0724110400188,670.0890595000237,675.0724739000434,,,,,631.9051262000576,632.0384978000075,633.0380588000407,634.9214199000271,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,6,6,17,679.1054531000555,679.1054531000555,679.1054531000555,2.824074074074074,4.400217400048859,space,12.47395100002177,,,,,675.0724739000434,675.0724765400519,676.0891946000047,,,691.605625999975,716.5898282000562,716.5898204399855,716.6065012000035,721.5899065999547,,,,,676.0891946000047,676.2391887999838,677.2387717999518,679.1054531000555,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,7,7,7,729.6232199999504,729.6232199999504,729.6232199999504,5.370370370370371,4.333552800002508,space,9.954301599995233,,,,,721.5899065999547,721.5898927399539,722.6065939000109,,,739.6066813999787,764.5905887000263,764.5905585400178,764.6072579000611,769.5906696000602,,,,,722.6065939000109,722.656579200062,723.6566130999709,729.6232199999504,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,8,8,14,775.6403128999518,775.6403128999518,775.6403128999518,5.0115740740740735,2.4336106999544427,space,11.905649799969979,,,,,769.5906696000602,769.5905932400492,770.623992000008,,,787.573823499959,812.5580159999663,812.5580072400044,812.5746506999712,817.5580959999934,,,,,770.623992000008,770.7073522000574,771.7069295999827,775.6403128999518,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_high_5621.jpg,5,0.1152479,-0.7,0,,,,,0,9,9,18,823.5910712999757,823.5910712999757,823.5910712999757,3.9699074074074074,2.566874700016342,space,12.67499579989817,,,,,817.5580959999934,817.5580799399759,818.5747546999482,,,836.2912882999517,861.2754522999749,861.2754328400479,861.2921156999655,866.2755304999882,,,,,818.5747546999482,818.6747457999736,819.6743254000321,823.5910712999757,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,10,10,19,874.3085397999967,874.3085397999967,874.3085397999967,5.5324074074074066,3.53320859989617,space,11.206281800055876,,,,,866.2755304999882,866.2754935400444,867.2921793999849,,,885.5420187000418,910.526228499948,910.5262216400006,910.542898499989,915.5263185000513,,,,,867.2921793999849,867.3422125000507,868.3417784000048,874.3085397999967,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,11,11,15,923.5593231000239,923.5593231000239,923.5593231000239,5.486111111111111,3.350274100084789,space,10.946450100047514,,,,,915.5263185000513,915.526297739998,916.5429973000428,,,934.52618419996,959.5099178999662,959.5098980400362,959.5265963999555,964.5101404000307,,,,,916.5429973000428,916.5929977999767,917.5925616000313,923.5593231000239,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,12,12,13,968.5433511000592,968.5433511000592,968.5433511000592,2.4189814814814814,2.0836072999518365,space,5.995877600042149,,,,,964.5101404000307,964.5100930400076,965.5271226000041,,,974.5601160000078,999.5438765999861,999.5438713400508,999.5605486000422,1004.5439705000026,,,,,965.5271226000041,965.6766561999684,966.6766867999686,968.5433511000592,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,13,13,10,1010.5607329000486,1010.5607329000486,1010.5607329000486,3.993055555555556,2.416965899989009,space,4.601422399980947,,,,,1004.5439705000026,1004.5439473400475,1005.5440149999922,,,1015.1945335000055,1040.1783010000363,1040.1782805399853,1040.1949276999803,1045.178408900043,,,,,1005.5440149999922,1005.6606770999497,1006.6606673999922,1010.5607329000486,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
