pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,emopic.stopped,redstar.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,5,5,15,624.1165721999714,624.1165721999714,624.1165721999714,6.030092592592593,5.016907999990508,space,18.554846900049597,,,,,616.0835686998907,616.083559709927,617.100247800001,,,642.7001964999363,667.6839304999448,667.6839087100001,667.7005948999431,672.6844557999866,,,,,617.100247800001,617.1502513999585,624.1165721999714,618.1498220999492,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_high_6230.jpg,1,0.1384903,0,-0.4,,,,,0,6,6,8,674.8509988998994,674.8509988998994,674.8509988998994,1.446759259259259,4.6335500999120995,space,19.452903699944727,,,,,672.6844557999866,672.6844705099705,673.7010854999535,,,694.3346486999653,719.3183764999267,719.3183262099977,719.3350180999842,724.318608499947,,,,,673.7010854999535,673.8344766999362,674.7009932999499,674.8509988998994,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,7,7,17,728.351563599892,728.351563599892,728.351563599892,3.414351851851852,4.733551799901761,space,18.16015370003879,,,,,724.318608499947,724.3185615099268,725.335299899918,,,746.5351493000053,771.5193570998963,771.519339309982,771.5360227999045,776.5194350999082,,,,,725.335299899918,725.4848464999814,728.351563599892,726.4848601999693,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,8,8,11,784.5524560000049,784.5524560000049,784.5524560000049,6.076388888888888,4.48358969995752,space,15.303135699941777,,,,,776.5194350999082,776.5194227099186,777.5361248999834,,,799.8859914999921,824.8698876999551,824.8698657098925,824.8865477999207,829.8702877999749,,,,,777.5361248999834,777.5861229998991,784.5524560000049,778.5856854999438,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_low_6010.jpg,3,0.1552196,0,0.4,,,,,0,9,9,5,833.9032377999974,833.9032377999974,833.9032377999974,2.4421296296296298,3.7002480999799445,space,13.520319900009781,,,,,829.8702877999749,829.8702378099318,830.886975399917,,,847.4534317998914,872.4371966999024,872.4371769099729,872.4538622999098,877.4377453000052,,,,,830.886975399917,831.0369736999273,833.9032377999974,832.0365348999621,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,10,10,2,883.4707067999989,883.4707067999989,883.4707067999989,4.027777777777778,2.883592199999839,space,10.94461709994357,,,,,877.4377453000052,877.4377182099037,878.4543769999873,,,894.437520199921,919.4379651999334,919.4379537099506,919.4379651999334,924.4384734999621,,,,,878.4543769999873,878.5544110999908,883.4707067999989,879.5539796999656,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,11,11,14,930.4881477999734,930.4881477999734,930.4881477999734,4.027777777777778,2.6669081000145525,space,15.847750299959444,,,,,924.4384734999621,924.4384557099314,925.4718222999945,,,946.3550909999758,971.3389458999736,971.3389287099475,971.3556116999825,976.3393476998899,,,,,925.4718222999945,925.5385115999961,930.4881477999734,926.5380807999754,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,12,12,13,980.3723062999779,980.3723062999779,980.3723062999779,1.0532407407407405,3.916894300025888,space,18.68450520001352,,,,,976.3393476998899,976.3393348098965,977.3560361999553,,,999.0892456999281,1024.0731487999437,1024.0731253099862,1024.0898062000051,1029.0735478999559,,,,,977.3560361999553,977.5060328999534,980.3723062999779,978.5056070999708,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pneutral_7950.jpg,7,0.0561269,0.7,0,,,,,0,13,13,3,1037.1065641999012,1037.1065641999012,1037.1065641999012,5.972222222222222,3.3170512999640778,space,14.973206999944523,,,,,1029.0735478999559,1029.0735316099367,1030.0902045998955,,,1052.106827099924,1077.091001899913,1077.0909921099433,1077.1076736999676,1082.091086899978,,,,,1030.0902045998955,1030.1402329999255,1037.1065641999012,1031.139798499993,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,14,14,19,1090.1241006999044,1090.1241006999044,1090.1241006999044,5.069444444444445,3.150223100092262,space,13.507749899988994,,,,,1082.091086899978,1082.0910704099574,1083.1077375999885,,,1103.657660799916,1128.6415381999686,1128.641511809989,1128.6581893999828,1133.6418935999973,,,,,1083.1077375999885,1083.157769799931,1090.1241006999044,1084.1573345999932,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
