pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,6,6,15,,,,,696.6438749000008,696.643712680001,,,704.7481302000015,704.7481302000015,704.7481302000015,5.4282407407407405,3.227343100001235,space,15.177872499998557,719.9825999000004,734.9360588,734.9359564800016,734.9859611000011,739.9414429000008,697.7090997000014,,,,,697.7090997000014,697.7090997000014,698.7134610000012,704.7481302000015,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pneutral_7100.jpg,3,0.1552196,0,0.4,,,,,0,7,7,1,,,,,739.9414429000008,739.9416124800009,,,743.992362500001,743.992362500001,743.992362500001,1.9907407407407405,3.593524300000354,space,12.412497999997868,756.4418024000006,771.4262030000009,771.4260523800003,771.4427426000002,776.4315838000002,740.9604437000016,,,,,740.9604437000016,741.0936967000016,742.0946713000012,743.992362500001,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_high_6230.jpg,1,0.1384903,0,-0.4,,,,,0,8,8,8,,,,,776.4315838000002,776.4316475800006,,,778.6004499999999,778.6004499999999,778.6004499999999,0.40509259259259356,4.409205299998575,space,17.574970499998017,796.1962879000002,811.1867211000008,811.1863541800012,811.2032379000011,816.1923272000004,777.4977275000001,,,,,777.4977275000001,777.5667482000008,778.6004499999999,778.5006627000002,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pneutral_7950.jpg,7,0.0561269,0.7,0,,,,,0,9,9,3,,,,,816.1923272000004,816.1920158800003,,,824.3003917000005,824.3003917000005,824.3003917000005,5.99537037037037,3.6748932999998942,space,13.97343699999874,838.2803335000008,853.2828655000012,853.282790180001,853.2828655000012,858.2881742000009,817.2588034,,,,,817.2588034,817.2588034,818.2616728000012,824.3003917000005,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_high_1300.jpg,3,0.1552196,0,0.4,,,,,0,10,10,9,,,,,858.2881742000009,858.2882266800007,,,862.3565565000008,862.3565565000008,862.3565565000008,2.5115740740740744,3.7323010000000068,space,17.335738099998707,879.7219007000003,894.7119005000004,894.7118266800007,894.7282436000005,899.7175144000012,859.3261426000008,,,,,859.3261426000008,859.4406042999999,860.4412881000007,862.3565565000008,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,11,11,17,,,,,899.7175144000012,899.7171676800008,,,903.8138626,903.8138626,903.8138626,1.967592592592593,16.343757799999366,space,17.956655099998898,921.808366700001,936.7915150000008,936.7914995800002,936.808457000001,,900.7823016000002,,,,,900.7823016000002,900.8694405000006,901.8703603000013,903.8138626,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_high_5621.jpg,5,0.1152479,-0.7,0,,,,,0,12,12,18,,,,,941.7967855000006,941.7968756800001,,,947.8489832000014,947.8489832000014,947.8489832000014,5.069444444444445,3.4651902000005066,space,17.431804099996953,965.3124249000011,980.305842400001,980.3059619800006,980.3225201000005,985.3112767000002,,,,,,942.8112145000014,942.8989660000007,943.9000123000005,947.8489832000014,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_low_2520.jpg,5,0.1152479,-0.7,0,,,,,0,13,13,6,,,,,985.3112767000002,985.3113585800002,,,991.3608422000016,991.3608422000016,991.3608422000016,2.962962962962963,4.9979277000002185,space,15.827916499998537,1007.234206000001,1022.2186896000003,1022.2186354800015,1022.2354316000001,1027.2247506000003,,,,,,986.3245847000017,986.4133911000008,987.4143388000011,991.3608422000016,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,14,14,19,,,,,1027.2247506000003,1027.2241429800015,,,1035.2979500000001,1035.2979500000001,1035.2979500000001,6.493055555555555,4.521234599998934,space,15.798130199998923,1051.1049224000017,1066.1000757000002,1066.1003315800008,1066.1170377000017,1071.1060309000004,1028.2528573,,,,,1028.2528573,1028.2622016000005,1029.2771740000007,1035.2979500000001,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,15,15,7,,,,,1071.1060309000004,1071.1057533800013,,,1079.2134653000012,1079.2134653000012,1079.2134653000012,4.965277777777778,3.4669788999999582,space,18.79853759999787,1098.0489042000008,1113.0354279000003,1113.035149880001,1113.051855400001,1118.0405871000003,1072.1709178,,,,,1072.1709178,1072.1709178,1073.1752961000002,1079.2134653000012,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,16,16,10,,,,,1118.0405871000003,1118.0406079800014,,,1124.1458569000006,1124.1458569000006,1124.1458569000006,5.034722222222222,3.8785008000013477,space,18.757771499998853,1142.9118308000016,1157.9180168000003,1157.9180382800005,1157.9180168000003,,1119.1089445000016,,,,,1119.1089445000016,1119.1426432000007,1120.1443955000013,1124.1458569000006,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,17,17,12,,,,,1162.9234979000012,1162.9234988800017,,,1165.0960800000012,1165.0960800000012,1165.0960800000012,0.46296296296296335,3.919590200001039,space,17.01265819999753,1182.1509148000005,1197.144355800001,1197.1444489800015,1197.1610368000001,1202.1497200000013,,,,,,1163.9777171000005,1164.0584815000002,1165.0960800000012,1164.9923495000003,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,18,18,2,,,,,1202.1497200000013,1202.1496701800006,,,1208.2228583000015,1208.2228583000015,1208.2228583000015,4.050925925925926,2.99139169999944,space,9.059613899999022,1217.3175749000002,1232.3163584000013,1232.3164420800003,1232.3335129000006,,1203.1767931000013,,,,,1203.1767931000013,1203.2517732000015,1204.253012700001,1208.2228583000015,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,19,19,0,,,,,1237.3219612000012,1237.322049280001,,,1239.4729938,1239.4729938,1239.4729938,0.37037037037037035,3.715099900000496,space,10.860578899997563,1250.3767217000004,1265.3527785000006,1265.3524982800009,1265.3860924,1270.3581818000002,,,,,,1238.3910343000007,1238.4405388000014,1239.4729938,1239.3910034,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.3581818000002,1270.3581818000002,1300.3580358,1300.3580358,None,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
