pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,keyEnd.keys,keyEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,7,7,14,674.0058999999892,674.0058999999892,674.0058999999892,3.900462962962963,4.767053300049156,space,21.14749020000454,,,,,667.9723449000157,667.9723385199438,668.9890325999586,,,695.1899123999756,720.1736237000441,720.1735783200245,720.1902964999899,725.1737004000461,,,,,668.9890325999586,669.0890297000296,670.0890458000358,674.0058999999892,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,8,8,17,729.2067726999521,729.2067726999521,729.2067726999521,2.4305555555555554,2.3666183999739587,space,18.987159900018014,,,,,725.1737004000461,725.1736562200356,726.1903491000412,,,748.2240703999996,773.20779460005,773.2077788200229,773.2244653999805,778.2078717999393,,,,,726.1903491000412,726.3400662000058,727.3399600000121,729.2067726999521,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,9,9,13,782.240948199993,782.240948199993,782.240948199993,2.5925925925925926,2.1001595000270754,space,4.832645500078797,,,,,778.2078717999393,778.2078543200157,779.2245626000222,,,787.0913483999902,812.0750849000178,812.0750638199504,812.091756699956,817.0751508999383,,,,,779.2245626000222,779.3745714999968,780.3741300000111,782.240948199993,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,10,10,15,825.1081572000403,825.1081572000403,825.1081572000403,4.849537037037037,2.3835028000175953,space,8.237312800018117,,,,,817.0751508999383,817.0751330200117,818.0918340999633,,,833.374987200019,858.3591322000138,858.3591161199845,858.3757963000098,863.3592090000166,,,,,818.0918340999633,818.1418321999954,819.1413938000333,825.1081572000403,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_high_6230.jpg,1,0.1384903,0,-0.4,,,,,0,11,11,8,865.52575349994,865.52575349994,865.52575349994,0.46296296296296335,2.6002063000341877,space,10.875893499935046,,,,,863.3592090000166,863.3591901199659,864.3758675999707,,,876.4425697999541,901.4264383999398,901.4264576199464,901.4431459000334,906.4264996999409,,,,,864.3758675999707,864.5092219000217,865.52575349994,865.3757561999373,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,12,12,10,912.4595313000027,912.4595313000027,912.4595313000027,2.638888888888889,2.200303899939172,space,19.30176709999796,,,,,906.4264996999409,906.4265366199659,907.44324589998,,,931.7931578999851,956.7773149999557,956.7773364199791,956.7940302999923,961.7773853000253,,,,,907.44324589998,907.543233799981,908.5427636000095,912.4595313000027,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,13,13,2,967.8104078000179,967.8104078000179,967.8104078000179,3.4375000000000004,3.533542299992405,space,7.4712521999608725,,,,,961.7773853000253,961.7774021200137,962.7941100000171,,,975.3105090999743,1000.2947063000174,1000.2946870199637,1000.3113695000065,1005.2947693000315,,,,,962.7941100000171,962.8941007000394,963.8936647999799,967.8104078000179,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\positive_high_5621.jpg,5,0.1152479,-0.7,0,,,,,0,14,14,18,1011.3277568999911,1011.3277568999911,1011.3277568999911,3.900462962962963,2.333528000046499,space,14.930978800053708,,,,,1005.2947693000315,1005.2947574200341,1006.3114577999804,,,1026.2779820000287,1051.26216449996,1051.262154519977,1051.278833599994,1056.2622488000197,,,,,1006.3114577999804,1006.4114516000263,1007.411019399995,1011.3277568999911,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,15,15,7,1064.2955608000048,1064.2955608000048,1064.2955608000048,5.104166666666667,2.5669255000539124,space,12.778342999983579,,,,,1056.2622488000197,1056.2622331199934,1057.2789348999504,,,1077.112459099968,1102.0962696999777,1102.0962984199402,1102.1129833000014,1107.0963656000094,,,,,1057.2789348999504,1057.3289419000503,1058.328948099981,1064.2955608000048,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,16,16,0,1109.2626223999541,1109.2626223999541,1109.2626223999541,0.7407407407407407,3.250263400026597,space,7.907724299933761,,,,,1107.0963656000094,1107.0963864200282,1108.113046100014,,,1117.1961153999437,1142.1798380999826,1142.1798336200416,1142.1965120999375,1147.1799343000166,,,,,1108.113046100014,1108.2464172999607,1109.2626223999541,1109.1126219000435,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_low_9331.jpg,1,0.1384903,0,-0.4,,,,,0,17,17,4,1149.3466274000239,1149.3466274000239,1149.3466274000239,0.5092592592592591,4.4336493000155315,space,10.238581700017676,,,,,1147.1799343000166,1147.1798756200121,1148.1799187000142,,,1159.6305500000017,1184.6143098999746,1184.6143012200016,1184.6309492000146,1189.6143936000299,,,,,1148.1799187000142,1148.3299433999928,1149.3466274000239,1149.1799542000517,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
